id,scientific_name,Clements_name,scientific_name_jetz,breeding_system,level,common_name,lat,long,nest_box,marker_type,year_of_study_start,year_of_study_end,breeding_start,breeding_end,epp_percent_broods,n_epp_broods,n_wpp_broods,n_broods_sampled,record_id,lon,climate_year,climate_month,location_id,tmp_cru_C_first_month,tmp_long_base_1961_1989_C_first_month,tmp_long_anom_1961_1989_C_first_month,tmp_short_base_5yr_C_first_month,tmp_short_anom_5yr_C_first_month,original_end_month,tmp_cru_C_full_season,tmp_long_base_1961_1989_C_full_season,tmp_long_anom_1961_1989_C_full_season,tmp_short_base_5yr_C_full_season,tmp_short_anom_5yr_C_full_season,n_months_full_season,pre_cru_mm_first_month,pre_long_base_1961_1989_mm_first_month,pre_long_anom_1961_1989_mm_first_month,pre_short_base_5yr_mm_first_month,pre_short_anom_5yr_mm_first_month,pre_cru_mm_full_season,pre_long_base_1961_1989_mm_full_season,pre_long_anom_1961_1989_mm_full_season,pre_short_base_5yr_mm_full_season,pre_short_anom_5yr_mm_full_season,n_months_pre_full_season,dtr_cru_C_first_month,dtr_cru_C_full_season,breeding_start_month_num,breeding_end_month_num,breeding_season_length_months,ndvi_can_first_month,ndvi_can_full_season,ndvi_start_month,ndvi_end_month,ndvi_year,ndvi_lat,ndvi_lon,ndvi_first_month_median_30km,ndvi_full_season_median_30km,ndvi_merge_status,ndvi_coord_match_round4,lat_round,long_round,abs_latitude,population_id,distance_to_coast_km
172Gissing1998,Carduelis_tristis,Spinus_tristis,Carduelis_tristis,monogamy,single-year study,American_goldfinch,43.53,-80.23,no,DNA fingerprinting,1992,1992,June,NA,26.7,4,11,15,11,-80.23,1992,6,11,14.90000057,16.32758647,-1.427585898,17.32000046,-2.419999886,NA,NA,NA,NA,NA,NA,NA,49.90000153,80.69655359,-30.79655207,58.57999992,-8.679998398,NA,NA,NA,NA,NA,NA,12.10000038,NA,6,NA,NA,1,0,6,NA,1992,43.53,-80.23,0.556848577,NA,both,TRUE,43.53,-80.23,43.53,Carduelis_tristis_43.53_-80.23,469.0582705
170Hill1994,Carpodacus_mexicanus,Haemorhous_mexicanus,Carpodacus_mexicanus,monogamy,single-year study,house_finch,42.27,-83.73,no,DNA fingerprinting,1991,1991,February,July,14.3,5,30,35,12,-83.73,1991,2,12,-0.5,-3.88620696,3.38620696,-3.020000017,2.520000017,7,13.25000032,10.71149442,2.538505901,11.47333347,1.776666846,6,29.10000038,41.05862116,-11.95862078,54.5600008,-25.46000042,346.100008,418.29656,-72.196552,398.5000063,-52.39999828,6,8.400000572,11.53333346,2,7,6,1,1,2,7,1991,42.27,-83.73,0.216727151,0.289341382,both,TRUE,42.27,-83.73,42.27,Carpodacus_mexicanus_42.27_-83.73,678.969232
65Millar1997,Catharacta_maccormicki,Stercorarius_maccormicki,Catharacta_maccormicki,monogamy,single-year study,South_polar_skua,-77.52,167.77,no,DNA fingerprinting,1988,1989,January,January,7.7,1,12,13,13,167.77,1988,1,13,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1988,-77.52,167.77,NA,NA,both,TRUE,-77.52,167.77,77.52,Catharacta_maccormicki_-77.52_167.77,13.94325007
247Maher2017,Charadrius_alexandrinus,Anarhynchus_alexandrinus,Charadrius_alexandrinus,monogamy,single-year study,kentish_plover,16.8,41.88,no,microsatellite,2011,2011,April,July,0,0,12,12,14,41.88,2011,4,14,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,7,4,1,1,4,7,2011,16.8,41.88,0.001263371,-0.008168433,both,TRUE,16.8,41.88,16.8,Charadrius_alexandrinus_16.8_41.88,7.637789986
367Dunn1999,Chen_caerulescens,Anser_caerulescens,Chen_caerulescens,monogamy,single-year study,lesser_snow_goose,67.23,-100.27,no,DNA fingerprinting,1995,1995,June,July,13,3,20,23,15,-100.27,1995,6,15,4.200000286,1.813793111,2.386207175,2.740000129,1.460000157,7,5.600000143,4.748275935,0.851724208,5.62000016,-0.020000017,2,21.60000038,13.90689676,7.693103626,15.72000065,5.879999733,46.10000038,40.95172464,5.148275737,43.12000103,2.979999352,2,7,6.850000143,6,7,2,1,1,6,7,1995,67.23,-100.27,0.110610535,0.137259696,both,TRUE,67.23,-100.27,67.23,Chen_caerulescens_67.23_-100.27,65.96107461
367Dunn1999,Chen_rossii,Anser_rossii,Chen_rossii,monogamy,single-year study,Ross’s_goose,67.23,-100.27,no,DNA fingerprinting,1995,1995,June,July,8.3,2,22,24,16,-100.27,1995,6,15,4.200000286,1.813793111,2.386207175,2.740000129,1.460000157,7,5.600000143,4.748275935,0.851724208,5.62000016,-0.020000017,2,21.60000038,13.90689676,7.693103626,15.72000065,5.879999733,46.10000038,40.95172464,5.148275737,43.12000103,2.979999352,2,7,6.850000143,6,7,2,1,1,6,7,1995,67.23,-100.27,0.110610535,0.137259696,both,TRUE,67.23,-100.27,67.23,Chen_rossii_67.23_-100.27,65.96107461
366Minias2014,Chlidonias_hybrida,Chlidonias_hybrida,Chlidonias_hybrida,monogamy,single-year study,whiskered_tern,51.73,18.63,no,microsatellite,2012,2012,May,August,11.8,2,15,17,17,18.63,2012,5,16,15.69999981,13.8068967,1.893103106,14.36000004,1.339999771,8,18.70000005,17.06810372,1.631896331,18.3400002,0.359999847,4,35.79999924,55.21724241,-19.41724317,56.94000092,-21.14000168,237.2000046,262.0344879,-24.83448331,294.2800014,-57.07999687,4,12.10000038,10.77500033,5,8,4,1,1,5,8,2012,51.73,18.63,0.589165188,0.553441176,both,TRUE,51.73,18.63,51.73,Chlidonias_hybrida_51.73_18.63,292.129482
410Turjeman2016,Ciconia_ciconia,Ciconia_ciconia,Ciconia_ciconia,monogamy,single-year study,white_stork,44,5,no,microsatellite,2012,2012,NA,NA,26.9,39,106,145,18,5,2012,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,left_only,NA,44,5,44,Ciconia_ciconia_44_5,61.95184668
449Øigarden2010,Cinclus_cinclus,Cinclus_cinclus,Cinclus_cinclus,monogamy,single-year study,white-throated_dipper,60.38,10.52,yes,microsatellite,1998,1998,April,June,5,2,38,40,19,10.52,1998,4,18,1.600000024,1.43448278,0.165517244,2.400000024,-0.8,6,7.333333532,7.388505873,-0.055172341,7.480000154,-0.146666622,3,78.5,46.68620817,31.81379183,41.06000137,37.43999863,255.4000092,185.3206929,70.07931627,185.2600012,70.14000797,3,6.700000286,8.500000159,4,6,3,1,1,4,6,1998,60.38,10.52,0.198457102,0.445432928,both,TRUE,60.38,10.52,60.38,Cinclus_cinclus_60.38_10.52,68.56234446
269Whittingham1995,Delichon_urbicum,Delichon_urbicum,Delichon_urbicum,monogamy,single-year study,house_martin,61.42,8.87,no,DNA fingerprinting,1992,1992,July,July,60,6,4,10,20,8.87,1992,7,19,9.600000381,9.317241554,0.282758828,9.840000153,-0.239999771,7,9.600000381,9.317241554,0.282758828,9.840000153,-0.239999771,1,107.5,90.45862237,17.04137763,94.28000259,13.21999741,107.5,90.45862237,17.04137763,94.28000259,13.21999741,1,7.900000095,7.900000095,7,7,1,1,1,7,7,1992,61.42,8.87,0.431062596,0.431062596,both,TRUE,61.42,8.87,61.42,Delichon_urbicum_61.42_8.87,71.44460893
426Yezerinac1999,Dendroica_petechia,Setophaga_petechia,Dendroica_petechia,monogamy,single-year study,yellow_warbler,58.67,-94.42,no,microsatellite,1994,1994,May,July,25,3,9,12,21,-94.42,1994,5,20,-0.600000024,-0.806896555,0.206896531,-0.380000012,-0.220000012,7,6.633333643,5.991954143,0.6413795,6.106666758,0.526666885,3,31,31,0,31,0,127.6000023,127.6000023,0,127.6000023,0,3,7.200000286,9.966667016,5,7,3,1,1,5,7,1994,58.67,-94.42,0.278085041,0.429098295,both,TRUE,58.67,-94.42,58.67,Dendroica_petechia_58.67_-94.42,7.734236619
362Jouventin2006,Diomedea_exulans,Diomedea_exulans,Diomedea_exulans,monogamy,single-year study,wandering_albatross,-46.42,51.75,no,microsatellite,2001,2002,November,October,12,6,44,50,22,51.75,2001,11,21,6.099999905,5.031034527,1.068965377,5.339999962,0.759999943,10,5.858333449,5.46178167,0.396551779,5.753333437,0.105000011,12,116,116,0,116,0,1548,1548,0,1548,0,12,5.099999905,4.416666786,11,10,12,1,1,11,10,2001,-46.42,51.75,0.11438,0.095066667,both,TRUE,-46.42,51.75,46.42,Diomedea_exulans_-46.42_51.75,2.5294659
362Jouventin2006,Diomedea_exulans,Diomedea_exulans,Diomedea_exulans,monogamy,single-year study,wandering_albatross,-49.25,69.53,no,microsatellite,2002,2003,December,November,8.3,2,22,24,23,69.53,2002,12,22,5.800000191,5.900000062,-0.099999872,6.740000153,-0.939999962,11,4.316666752,4.027298908,0.289367844,4.598333406,-0.281666654,12,78,63.69655247,14.30344753,68.46000137,9.539998627,515.6000085,811.6000147,-296.0000062,768.5600124,-252.9600039,12,5.800000191,6.250000079,12,11,12,1,1,12,11,2002,-49.25,69.53,0.083433333,0.165868029,both,TRUE,-49.25,69.53,49.25,Diomedea_exulans_-49.25_69.53,0.084755357
198McLean2000,Eudyptes_pachyrhynchus,Eudyptes_pachyrhynchus,Eudyptes_pachyrhynchus,monogamy,single-year study,Fiordland_penguin,-43.83,168.88,no,DNA fingerprinting,1990,1990,July,September,0,0,24,24,24,168.88,1990,7,23,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7,9,3,1,1,7,9,1990,-43.83,168.88,0.203124146,0.450938766,both,TRUE,-43.83,168.88,43.83,Eudyptes_pachyrhynchus_-43.83_168.88,10.68454993
64Clair1995,Eudyptes_schlegeli,Eudyptes_schlegeli,Eudyptes_schlegeli,monogamy,single-year study,royal_penguin,-54.5,158.95,no,DNA fingerprinting,1991,1991,October,December,7.7,1,12,13,25,158.95,1991,10,24,3.700000048,3.631034547,0.068965501,4.020000124,-0.320000076,12,4.666666746,4.631034536,0.03563221,4.940000073,-0.273333327,3,113.8000031,71.0275875,42.77241556,79.14000092,34.66000214,264.9000015,216.9068997,47.99310184,235.5600021,29.33999939,3,4.200000286,3.966666778,10,12,3,1,1,10,12,1991,-54.5,158.95,NA,0.2152,both,TRUE,-54.5,158.95,54.5,Eudyptes_schlegeli_-54.5_158.95,0.34236785
208Swatschek1993,Falco_eleonorae,Falco_eleonorae,Falco_eleonorae,monogamy,single-year study,eleonoras_falcon,38,24.98,no,DNA fingerprinting,1991,1991,May,October,0,0,17,17,26,24.98,1991,5,25,15.60000038,17.92413863,-2.324138247,17.40000038,-1.8,10,20.85000038,21.12643722,-0.276436839,21.26333364,-0.413333257,6,46,21.20344867,24.79655133,12.12000017,33.87999983,106.8000019,106.396554,0.403447922,76.22000214,30.57999977,6,5.5,5.666666667,5,10,6,1,1,5,10,1991,38,24.98,0.421584032,0.306431461,both,TRUE,38,24.98,38,Falco_eleonorae_38_24.98,10.78862036
294 Alcaide2005,Falco_naumanni,Falco_naumanni,Falco_naumanni,monogamy,single-year study,lesser_kestrel,37.17,-6.35,no,microsatellite,2003,2003,March,July,12.5,1,7,8,27,-6.35,2003,3,26,15.60000038,13.92068985,1.679310536,15.72000046,-0.120000076,7,21.20000038,19.49448305,1.705517328,20.42400032,0.776000061,5,70.70000458,57.72413882,12.97586576,62.72000122,7.980003357,150.7000062,158.0517259,-7.351719676,156.0600036,-5.359997381,5,11,13.22000008,3,7,5,1,1,3,7,2003,37.17,-6.35,0.38759244,0.388583381,both,TRUE,37.17,-6.35,37.17,Falco_naumanni_37.17_-6.35,26.68393136
294 Alcaide2005,Falco_naumanni,Falco_naumanni,Falco_naumanni,monogamy,single-year study,lesser_kestrel,41.35,-0.18,no,microsatellite,1993,1993,April,July,8.7,2,21,23,28,-0.18,1993,4,27,13,13.2448278,-0.244827797,13.16000023,-0.160000229,7,19.17500067,18.86810378,0.306896892,19.18500037,-0.009999704,4,40.10000229,37.70689723,2.393105063,44.42000084,-4.31999855,107.2000039,143.2724165,-36.07241255,161.1800019,-53.97999799,4,12.30000019,12.95000005,4,7,4,1,1,4,7,1993,41.35,-0.18,0.245953619,0.204766259,both,TRUE,41.35,-0.18,41.35,Falco_naumanni_41.35_-0.18,95.17221312
483Sheldon1999,Ficedula_albicollis,Ficedula_albicollis,Ficedula_albicollis,monogamy,single-year study,collared_flycatcher,57.17,18.33,yes,microsatellite,1994,1994,May,July,32.9,26,53,79,29,18.33,1994,5,28,9,9.148275967,-0.148275967,10.72000027,-1.720000267,7,13.80000051,13.22068988,0.579310625,14.02000033,-0.219999822,3,26.39999962,30.52758661,-4.12758699,18.33999987,8.059999752,67.29999876,109.4241395,-42.12414071,98.32000046,-31.0200017,3,8.300000191,8.100000223,5,7,3,1,1,5,7,1994,57.17,18.33,0.393761224,0.432624379,both,TRUE,57.17,18.33,57.17,Ficedula_albicollis_57.17_18.33,7.874911659
242Moreno2013,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,40.8,-4.02,yes,microsatellite,2010,2010,May,June,28.8,17,42,59,30,-4.02,2010,5,29,12.60000038,11.98275885,0.617241531,13.50000019,-0.899999809,6,14.95000076,14.30000029,0.650000474,15.91000032,-0.959999561,2,48.20000076,63.76896641,-15.56896565,72.76000061,-24.55999985,120.5000038,109.7000014,10.80000238,115.2000011,5.30000267,2,11.10000038,11.70000029,5,6,2,1,1,5,6,2010,40.8,-4.02,0.556154809,0.560863484,both,TRUE,40.8,-4.02,40.8,Ficedula_hypoleuca_40.8_-4.02,291.7479203
235Lifjeld1991,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,59.98,10.63,yes,DNA fingerprinting,1989,1989,May,July,14.8,4,23,27,31,10.63,1989,5,30,10.69999981,10.12413804,0.575861766,10.53999996,0.159999847,7,14.26666673,13.6011496,0.665517127,13.52666664,0.740000089,3,33.5,58.11724262,-24.61724262,49.90000153,-16.40000153,160.2999992,208.2655204,-47.96552112,232.5200027,-72.22000351,3,11,11.20000013,5,7,3,1,1,5,7,1989,59.98,10.63,0.454304778,0.530714769,both,TRUE,59.98,10.63,59.98,Ficedula_hypoleuca_59.98_10.63,24.0349938
214Brün1996,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,52.53,7.35,yes,DNA fingerprinting,1993,1993,May,June,12.9,4,27,31,32,7.35,1993,5,31,14.19999981,12.03793121,2.162068597,13.48000011,0.719999695,6,15.0999999,13.58103476,1.518965146,14.23000011,0.86999979,2,62,57.28965638,4.710343624,31.0600008,30.9399992,111.9000015,126.8379337,-14.93793215,101.6600016,10.23999996,2,10.5,10.30000019,5,6,2,1,1,5,6,1993,52.53,7.35,0.471690762,0.540127236,both,TRUE,52.53,7.35,52.53,Ficedula_hypoleuca_52.53_7.35,84.27408721
182Ellegren1995,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,59.97,10.78,yes,microsatellite,1992,1992,May,June,17,3,15,18,33,10.78,1992,5,32,12.5,10.12413804,2.375861957,10.31999989,2.180000114,6,15.10000038,12.40000013,2.700000253,12.1999999,2.900000477,2,45.20000076,58.11724262,-12.91724185,29.1800004,16.02000036,57.90000057,125.6172435,-67.7172429,122.3000001,-64.39999952,2,12.19999981,12.69999981,5,6,2,1,1,5,6,1992,59.97,10.78,0.407958871,0.415675898,both,TRUE,59.97,10.78,59.97,Ficedula_hypoleuca_59.97_10.78,25.06337882
187Gelter1992,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,59.83,17.67,yes,DNA fingerprinting,1987,1987,May,June,42.9,3,4,7,34,17.67,1987,5,33,8.300000191,10.13793117,-1.837930975,10.78000011,-2.479999924,6,10.25,12.62413811,-2.374138109,12.61000023,-2.360000229,2,44.79999924,32.12758658,12.67241266,28.86000023,15.93999901,101.7000008,74.78620817,26.91379259,76.62000084,25.07999992,2,9,8.200000048,5,6,2,1,1,5,6,1987,59.83,17.67,0.445463519,0.448768711,both,TRUE,59.83,17.67,59.83,Ficedula_hypoleuca_59.83_17.67,52.38825708
243Moreno2010,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,40.8,-4.02,yes,microsatellite,2003,2003,May,June,22.4,13,45,58,35,-4.02,2003,5,29,13.90000057,11.98275885,1.917241721,12.86000023,1.040000343,6,16.6500001,14.30000029,2.349999806,15.54000034,1.109999752,2,40.79999924,63.76896641,-22.96896717,75.30000076,-34.50000153,56.19999981,109.7000014,-53.50000162,97.88000107,-41.68000126,2,12.40000057,13.25000048,5,6,2,1,1,5,6,2003,40.8,-4.02,0.585655068,0.566486456,both,TRUE,40.8,-4.02,40.8,Ficedula_hypoleuca_40.8_-4.02,291.7479203
241Moreno2015,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,40.8,-4.02,yes,microsatellite,2011,2011,May,June,38.3,23,37,60,36,-4.02,2011,5,29,14.69999981,11.98275885,2.717240958,13.18000031,1.519999504,6,16.4000001,14.30000029,2.099999806,15.51000042,0.889999676,2,61.79999924,63.76896641,-1.968967175,77.36000061,-15.56000137,89.10000038,109.7000014,-20.60000105,131.0600018,-41.96000137,2,12.40000057,12.25000048,5,6,2,1,1,5,6,2011,40.8,-4.02,0.586432102,0.56005837,both,TRUE,40.8,-4.02,40.8,Ficedula_hypoleuca_40.8_-4.02,291.7479203
349Rätti1995,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,62.62,26.33,yes,DNA fingerprinting,1990,1990,May,June,22.2,8,28,36,37,26.33,1990,5,34,8.400000572,8.665517462,-0.26551689,8.800000286,-0.399999714,6,10.70000029,11.29310372,-0.593103433,11.76000037,-1.060000086,2,25.89999962,41.93103503,-16.03103541,52.95999985,-27.06000023,64.50000191,99.71379522,-35.21379331,110.5000011,-45.99999924,2,10.60000038,10.60000038,5,6,2,1,1,5,6,1990,62.62,26.33,0.441514642,0.490484952,both,TRUE,62.62,26.33,62.62,Ficedula_hypoleuca_62.62_26.33,208.6334834
348Rätti2001,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,62.62,26.33,yes,DNA fingerprinting,1992,1992,May,June,7,3,40,43,38,26.33,1992,5,34,10.5,8.665517462,1.834482538,8.580000305,1.919999695,6,12.9000001,11.29310372,1.606896376,11.26000023,1.639999866,2,19.20000076,41.93103503,-22.73103426,49.73999977,-30.53999901,51.00000191,99.71379522,-48.71379331,121.9000011,-70.89999924,2,12,12.30000019,5,6,2,1,1,5,6,1992,62.62,26.33,0.426226007,0.481953634,both,TRUE,62.62,26.33,62.62,Ficedula_hypoleuca_62.62_26.33,208.6334834
53Tomotani2017,Ficedula_hypoleuca,Ficedula_hypoleuca,Ficedula_hypoleuca,monogamy,single-year study,pied_flycatcher,52.03,5.85,yes,microsatellite,2014,2014,April,June,19.4,18,75,93,39,5.85,2014,4,35,11.19999981,7.465517324,3.734482486,9.760000134,1.439999676,6,13.26666673,11.46666682,1.799999911,12.58000021,0.68666652,3,41.20000076,50.86551831,-9.665517544,29.4600008,11.73999996,186.2000046,182.1310384,4.068966142,154.9200029,31.28000164,3,10.40000057,9.966667175,4,6,3,1,1,4,6,2014,52.03,5.85,0.606267848,0.629288338,both,TRUE,52.03,5.85,52.03,Ficedula_hypoleuca_52.03_5.85,98.20852764
