system:index,epp_row_id,first_month,latitude,longitude,pre_max_mm_day_first_month,pre_mean_mm_day_first_month,pre_sd_mm_day_first_month,pre_sum_mm_first_month,pre_wet_days_gt1mm_first_month,tmp_mean_C_first_month,tmp_range_C_first_month,tmp_sd_C_first_month,weather_dataset,weather_end_date,weather_start_date,year,.geo
00000000000000000008,12,2,42.27,-83.73,14.813351631062233,1.2589486649227257,2.9366143437185848,35.25056261783632,8,-1.0337512788318253,21.053480784098326,4.915077249644038,ECMWF/ERA5_LAND/DAILY_AGGR,1991-02-28,1991-02-01,1991,"{""type"":""Point"",""coordinates"":[-83.73,42.27]}"
00000000000000000023,40,2,23.75,-166.02,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2007-02-28,2007-02-01,2007,"{""type"":""Point"",""coordinates"":[-166.02,23.75]}"
0000000000000000003c,65,2,37.0,-3.0,14.783051453207463,0.8195544203359566,2.7542274050351088,22.947523769406786,4,8.99199095680603,11.123023986816406,2.697313238651376,ECMWF/ERA5_LAND/DAILY_AGGR,1995-02-28,1995-02-01,1995,"{""type"":""Point"",""coordinates"":[-3.0000000000000004,37.00000000000001]}"
0000000000000000004d,82,2,44.97,-90.05,13.592436909561911,1.0000239188603695,2.553375762452844,28.000669728090344,7,-11.649558743976387,22.210439682006864,6.236001221870861,ECMWF/ERA5_LAND/DAILY_AGGR,2003-02-28,2003-02-01,2003,"{""type"":""Point"",""coordinates"":[-90.05,44.97]}"
0000000000000000004e,83,2,44.97,-90.05,19.494895740876927,1.9823610654790527,3.9511389878883696,57.48847089889253,10,-6.167999561353637,20.730836868286104,5.019197082694379,ECMWF/ERA5_LAND/DAILY_AGGR,2004-02-29,2004-02-01,2004,"{""type"":""Point"",""coordinates"":[-90.05,44.97]}"
0000000000000000004f,84,2,44.97,-90.05,12.657856940677448,1.0452868281750785,2.808785713649483,29.2680311889022,4,-12.235569540659569,26.666441599527985,7.413660362116928,ECMWF/ERA5_LAND/DAILY_AGGR,2007-02-28,2007-02-01,2007,"{""type"":""Point"",""coordinates"":[-90.05,44.97]}"
0000000000000000009a,159,2,51.75,4.75,19.6389898101188,4.087015455663336,4.930653170332253,114.4364327585734,19,6.876695387704054,10.672938028971316,3.2273795620697303,ECMWF/ERA5_LAND/DAILY_AGGR,2002-02-28,2002-02-01,2002,"{""type"":""Point"",""coordinates"":[4.749999999999999,51.75000000000001]}"
0000000000000000009b,160,2,51.75,4.75,5.220998960908219,0.7400289905344438,1.4406515591827287,20.72081173496443,7,1.8860189392453381,11.234154383341433,3.0565339614327693,ECMWF/ERA5_LAND/DAILY_AGGR,2003-02-28,2003-02-01,2003,"{""type"":""Point"",""coordinates"":[4.749999999999999,51.75000000000001]}"
000000000000000000aa,175,2,-15.57,128.0,78.53663304803149,13.568953416644913,16.779993332465015,393.4996490827025,23,28.331693925528718,6.864665349324525,1.771475545728581,ECMWF/ERA5_LAND/DAILY_AGGR,2008-02-29,2008-02-01,2008,"{""type"":""Point"",""coordinates"":[128.0,-15.570000000000002]}"
000000000000000000ab,176,2,-15.57,128.0,27.911835222880654,10.12408287164008,8.745360145054397,283.47432040592224,20,27.895635268801755,6.244228363037109,1.7206150084572338,ECMWF/ERA5_LAND/DAILY_AGGR,2009-02-28,2009-02-01,2009,"{""type"":""Point"",""coordinates"":[128.0,-15.570000000000002]}"
000000000000000001a8,457,2,21.87,-105.9,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2011-02-28,2011-02-01,2011,"{""type"":""Point"",""coordinates"":[-105.90000000000002,21.87]}"
00000000000000000245,642,2,25.8333,131.2333,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2008-02-29,2008-02-01,2008,"{""type"":""Point"",""coordinates"":[131.2333,25.8333]}"
00000000000000000016,27,3,37.17,-6.35,28.3726505833215,2.560201022349028,6.095430042510943,79.36623169281987,8,14.401357207759757,5.4240716298421034,1.385239327336037,ECMWF/ERA5_LAND/DAILY_AGGR,2003-03-31,2003-03-01,2003,"{""type"":""Point"",""coordinates"":[-6.349999999999999,37.17000000000001]}"
00000000000000000024,41,3,59.53,-1.62,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,1988-03-31,1988-03-01,1988,"{""type"":""Point"",""coordinates"":[-1.62,59.53]}"
00000000000000000025,42,3,45.43,8.62,16.96725487704498,0.6518000632637256,2.989153388283817,20.205801961175496,1,10.74595310662385,6.030504862467467,1.7649578918364497,ECMWF/ERA5_LAND/DAILY_AGGR,1994-03-31,1994-03-01,1994,"{""type"":""Point"",""coordinates"":[8.62,45.43]}"
00000000000000000026,43,3,38.83,-6.98,5.295768380051413,0.3454004640653535,1.2367075588156435,10.70741438602596,2,14.496643525810676,6.700677871704102,1.427697259922596,ECMWF/ERA5_LAND/DAILY_AGGR,1994-03-31,1994-03-01,1994,"{""type"":""Point"",""coordinates"":[-6.9799999999999995,38.830000000000005]}"
00000000000000000029,46,3,34.57,135.53,31.55454173003136,3.0867776886059155,6.696478071125998,95.69010834678338,10,7.220326667703632,9.80528450012207,2.567426793383139,ECMWF/ERA5_LAND/DAILY_AGGR,1989-03-31,1989-03-01,1989,"{""type"":""Point"",""coordinates"":[135.53,34.57]}"
0000000000000000002b,48,3,37.62,-84.12,51.521373070499976,7.5228615229281015,11.813359307992165,233.20870721077114,16,6.716608978599655,16.227341334025027,4.239681430677818,ECMWF/ERA5_LAND/DAILY_AGGR,1994-03-31,1994-03-01,1994,"{""type"":""Point"",""coordinates"":[-84.12,37.620000000000005]}"
0000000000000000002d,50,3,52.77,-4.78,25.07801651944419,3.824656467607327,5.285880861097044,118.56435049582714,18,7.897637221633772,5.66025479634601,1.2262639266376698,ECMWF/ERA5_LAND/DAILY_AGGR,1991-03-31,1991-03-01,1991,"{""type"":""Point"",""coordinates"":[-4.779999999999999,52.77]}"
00000000000000000038,61,3,53.07,-0.95,7.345828793745568,1.8990921473423605,2.101645953858721,58.87185656761318,17,7.178071512201805,8.441224416096986,2.409487773097527,ECMWF/ERA5_LAND/DAILY_AGGR,1994-03-31,1994-03-01,1994,"{""type"":""Point"",""coordinates"":[-0.9499999999999997,53.07]}"
00000000000000000044,73,3,37.18,-3.05,41.85491502283867,2.636612568302037,7.5655716997184586,81.73498961736314,10,6.494937105076307,18.115784962972043,4.300343243894219,ECMWF/ERA5_LAND/DAILY_AGGR,1993-03-31,1993-03-01,1993,"{""type"":""Point"",""coordinates"":[-3.05,37.18]}"
0000000000000000006e,115,3,43.0,-84.0,8.901536464691162,1.341270411211624,2.3491577661802934,41.579382747560345,9,4.884445260160734,20.996529897054018,5.1979446726331275,ECMWF/ERA5_LAND/DAILY_AGGR,2000-03-31,2000-03-01,2000,"{""type"":""Point"",""coordinates"":[-84.0,43.0]}"
0000000000000000006f,116,3,43.0,-84.0,3.532576560871803,0.7980138490872438,1.005431882830563,24.738429321704558,11,0.02997038236230398,11.911956787109375,2.96991522576314,ECMWF/ERA5_LAND/DAILY_AGGR,2001-03-31,2001-03-01,2001,"{""type"":""Point"",""coordinates"":[-84.0,43.0]}"
00000000000000000070,117,3,43.0,-84.0,19.62667958923703,2.479068264308133,4.677824824392322,76.85111619355212,12,-0.48833040216915297,24.032246271769168,5.0085072137380795,ECMWF/ERA5_LAND/DAILY_AGGR,2002-03-31,2002-03-01,2002,"{""type"":""Point"",""coordinates"":[-84.0,43.0]}"
0000000000000000007a,127,3,36.92,-25.17,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2002-03-31,2002-03-01,2002,"{""type"":""Point"",""coordinates"":[-25.170000000000005,36.92]}"
0000000000000000007b,128,3,36.92,-25.17,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2003-03-31,2003-03-01,2003,"{""type"":""Point"",""coordinates"":[-25.170000000000005,36.92]}"
00000000000000000085,138,3,40.98,-124.0,41.72182083129883,10.279925392552741,11.279109342428546,318.67768716913497,24,5.941552549792897,8.674687703450502,1.8595304586866621,ECMWF/ERA5_LAND/DAILY_AGGR,2006-03-31,2006-03-01,2006,"{""type"":""Point"",""coordinates"":[-124.0,40.98]}"
00000000000000000086,139,3,40.98,-124.0,23.941129992692822,3.3163480223136377,5.920923834549931,102.80678869172277,10,8.597110079693561,8.333117802937807,2.0061096521845267,ECMWF/ERA5_LAND/DAILY_AGGR,2007-03-31,2007-03-01,2007,"{""type"":""Point"",""coordinates"":[-124.0,40.98]}"
00000000000000000087,140,3,40.98,-124.0,25.09830892086029,4.317346791974468,6.870445257305577,133.8377505512085,14,6.626133157873684,5.843758900960324,1.5104430905298372,ECMWF/ERA5_LAND/DAILY_AGGR,2008-03-31,2008-03-01,2008,"{""type"":""Point"",""coordinates"":[-124.0,40.98]}"
0000000000000000009c,161,3,47.0,8.0,28.83889377108062,3.346504273376776,6.5195741529805336,103.74163247468005,13,2.981073264665528,10.71426773071289,2.7916379985793363,ECMWF/ERA5_LAND/DAILY_AGGR,2002-03-31,2002-03-01,2002,"{""type"":""Point"",""coordinates"":[8.0,47.0]}"
0000000000000000009d,162,3,47.0,8.0,11.190357804196083,1.5775689429169404,3.2461386302677973,48.90463723042515,7,2.526383459439864,9.514640172322629,2.3320400075606966,ECMWF/ERA5_LAND/DAILY_AGGR,2003-03-31,2003-03-01,2003,"{""type"":""Point"",""coordinates"":[8.0,47.0]}"
0000000000000000009e,163,3,47.0,8.0,23.341703414814674,3.0684008710759674,4.870340825363655,95.12042700335499,15,0.2956207111317858,13.859245936075808,3.767025330797454,ECMWF/ERA5_LAND/DAILY_AGGR,2004-03-31,2004-03-01,2004,"{""type"":""Point"",""coordinates"":[8.0,47.0]}"
0000000000000000009f,164,3,47.0,8.0,7.685229182243347,2.1117987351076986,2.384401993992144,65.46576078833866,17,0.5285357690626766,17.138272603352902,5.452184417773197,ECMWF/ERA5_LAND/DAILY_AGGR,2005-03-31,2005-03-01,2005,"{""type"":""Point"",""coordinates"":[8.0,47.0]}"
000000000000000000c5,202,3,36.37,-121.55,18.83156510371009,0.8774747847662143,3.335715840034189,27.201718327752644,6,9.99455914241014,10.244278589884402,2.384613870915176,ECMWF/ERA5_LAND/DAILY_AGGR,1994-03-31,1994-03-01,1994,"{""type"":""Point"",""coordinates"":[-121.55000000000003,36.37]}"
000000000000000000c6,203,3,36.37,-121.55,94.25282444226468,8.459419050396264,17.520610913528078,262.2419905622842,17,8.828870207263599,7.522058486938477,2.064424967562742,ECMWF/ERA5_LAND/DAILY_AGGR,1995-03-31,1995-03-01,1995,"{""type"":""Point"",""coordinates"":[-121.55000000000003,36.37]}"
000000000000000000d1,214,3,40.63,-8.68,34.55519619867076,4.437500000423619,8.410622655697495,137.5625000131322,11,13.236630745344291,10.230527242024777,2.923747310626398,ECMWF/ERA5_LAND/DAILY_AGGR,2002-03-31,2002-03-01,2002,"{""type"":""Point"",""coordinates"":[-8.68,40.63000000000001]}"
000000000000000000d2,215,3,40.63,-8.68,16.65800950161156,3.4095797081464423,5.25096434146993,105.69697095253971,11,13.478584400300079,6.898611068725586,1.488281510786857,ECMWF/ERA5_LAND/DAILY_AGGR,2003-03-31,2003-03-01,2003,"{""type"":""Point"",""coordinates"":[-8.68,40.63000000000001]}"
000000000000000000d3,216,3,40.63,-8.68,31.1920193998958,2.987686586668968,6.18854836103629,92.61828418673801,10,12.64966364624682,14.748233159383119,3.4875878539600498,ECMWF/ERA5_LAND/DAILY_AGGR,2005-03-31,2005-03-01,2005,"{""type"":""Point"",""coordinates"":[-8.68,40.63000000000001]}"
000000000000000000d4,217,3,40.63,-8.68,40.31130639498315,6.10442583025849,8.999701886118157,189.2372007380132,17,12.483455481580531,8.126916249593137,1.8621568864842166,ECMWF/ERA5_LAND/DAILY_AGGR,2006-03-31,2006-03-01,2006,"{""type"":""Point"",""coordinates"":[-8.68,40.63000000000001]}"
000000000000000000d5,218,3,40.63,-8.68,19.110628962515364,1.4965639001849973,3.686863106629438,46.39348090573492,9,12.323984974686834,6.10587183634442,1.7372639230030773,ECMWF/ERA5_LAND/DAILY_AGGR,2007-03-31,2007-03-01,2007,"{""type"":""Point"",""coordinates"":[-8.68,40.63000000000001]}"
000000000000000000d6,219,3,40.63,-8.68,9.746450185730282,1.4777046056557934,2.57671635130056,45.808842775329595,10,12.014093612342782,5.7448355356851835,1.2642570565178788,ECMWF/ERA5_LAND/DAILY_AGGR,2008-03-31,2008-03-01,2008,"{""type"":""Point"",""coordinates"":[-8.68,40.63000000000001]}"
000000000000000000f3,248,3,51.25,4.47,4.7195328162956685,0.9651759765596297,1.4049852540439445,29.920455273348523,9,8.443270394109938,11.199481964111328,2.649408813030471,ECMWF/ERA5_LAND/DAILY_AGGR,1990-03-31,1990-03-01,1990,"{""type"":""Point"",""coordinates"":[4.469999999999999,51.25]}"
000000000000000000f4,249,3,51.25,4.47,4.427043633558725,0.9892529406243737,1.1252872560522438,30.666841159355585,11,9.108144194080012,8.646589914957644,2.4848808711947137,ECMWF/ERA5_LAND/DAILY_AGGR,1991-03-31,1991-03-01,1991,"{""type"":""Point"",""coordinates"":[4.469999999999999,51.25]}"
000000000000000000f5,250,3,51.25,4.47,15.507410149723455,3.021135390861058,3.8133004688858025,93.65519711669279,19,7.199935695689233,5.814497629801451,1.8973803555939965,ECMWF/ERA5_LAND/DAILY_AGGR,1992-03-31,1992-03-01,1992,"{""type"":""Point"",""coordinates"":[4.469999999999999,51.25]}"
000000000000000000f6,251,3,51.25,4.47,1.6979753970645106,0.23529188396134446,0.42478744201057633,7.294048402801678,2,6.165200251917706,12.424402872721316,3.1736653598908453,ECMWF/ERA5_LAND/DAILY_AGGR,1993-03-31,1993-03-01,1993,"{""type"":""Point"",""coordinates"":[4.469999999999999,51.25]}"
000000000000000000fe,261,3,51.42,7.65,4.2857646942024985,0.7387809706662138,1.119510853941435,22.90221009065263,8,4.69023910440427,12.21299870808923,3.7586808905284887,ECMWF/ERA5_LAND/DAILY_AGGR,1993-03-31,1993-03-01,1993,"{""type"":""Point"",""coordinates"":[7.650000000000001,51.42]}"
000000000000000000ff,262,3,51.42,7.65,30.899042681312494,4.488430396118212,6.155399685904763,139.14134227966457,21,6.813070777154764,10.429749806722043,2.677587210978924,ECMWF/ERA5_LAND/DAILY_AGGR,1994-03-31,1994-03-01,1994,"{""type"":""Point"",""coordinates"":[7.650000000000001,51.42]}"
00000000000000000102,265,3,40.02,122.93,6.609538197437814,0.5765734572671664,1.5713768573394946,17.873777175282157,4,1.0199521054503973,12.595877329508426,2.737445903903507,ECMWF/ERA5_LAND/DAILY_AGGR,2009-03-31,2009-03-01,2009,"{""type"":""Point"",""coordinates"":[122.93,40.02]}"
00000000000000000103,266,3,40.02,122.93,15.142935514347755,1.0672747998478096,3.259784342682832,33.0855187952821,4,-0.39151580564434735,12.485557556152344,2.962270822059805,ECMWF/ERA5_LAND/DAILY_AGGR,2010-03-31,2010-03-01,2010,"{""type"":""Point"",""coordinates"":[122.93,40.02]}"
00000000000000000104,267,3,40.02,122.93,0.31111836432273776,0.03794741959583711,0.08428375941126094,1.1763700074709504,0,0.8078942124561782,14.156234105428041,3.2458882507264453,ECMWF/ERA5_LAND/DAILY_AGGR,2011-03-31,2011-03-01,2011,"{""type"":""Point"",""coordinates"":[122.93,40.02]}"
0000000000000000010a,273,3,35.7,-83.2,46.77106738080283,3.3310868469619033,8.781905589212638,103.263692255819,9,6.719545085455802,20.029097874959348,4.213683184093396,ECMWF/ERA5_LAND/DAILY_AGGR,1995-03-31,1995-03-01,1995,"{""type"":""Point"",""coordinates"":[-83.2,35.7]}"
0000000000000000010b,274,3,35.7,-83.2,25.53961277004646,4.792454004150647,6.548574705261943,148.56607412867007,16,2.486690078243152,20.115800857543945,5.459095371287853,ECMWF/ERA5_LAND/DAILY_AGGR,1996-03-31,1996-03-01,1996,"{""type"":""Point"",""coordinates"":[-83.2,35.7]}"
0000000000000000012a,305,3,43.16,-124.41,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2005-03-31,2005-03-01,2005,"{""type"":""Point"",""coordinates"":[-124.41,43.16]}"
0000000000000000012b,306,3,43.16,-124.41,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2006-03-31,2006-03-01,2006,"{""type"":""Point"",""coordinates"":[-124.41,43.16]}"
0000000000000000012c,307,3,43.16,-124.41,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2007-03-31,2007-03-01,2007,"{""type"":""Point"",""coordinates"":[-124.41,43.16]}"
00000000000000000132,313,3,31.92,-109.25,9.658902883529663,1.399590542562929,2.661969801978465,43.3873068194508,8,6.3679413210961355,11.502944946289062,3.1788191509859707,ECMWF/ERA5_LAND/DAILY_AGGR,1991-03-31,1991-03-01,1991,"{""type"":""Point"",""coordinates"":[-109.25000000000001,31.919999999999998]}"
00000000000000000133,314,3,31.92,-109.25,12.906387448310852,1.5403618188622155,2.867322849582905,47.75121638472868,10,7.616828126804819,9.53262710571289,2.314749216234794,ECMWF/ERA5_LAND/DAILY_AGGR,1992-03-31,1992-03-01,1992,"{""type"":""Point"",""coordinates"":[-109.25000000000001,31.919999999999998]}"
00000000000000000134,315,3,31.92,-109.25,8.658182336944265,0.6816965448630602,1.7497467695215498,21.132592890754864,4,9.20983860877255,13.29941495259601,3.382982338886197,ECMWF/ERA5_LAND/DAILY_AGGR,1993-03-31,1993-03-01,1993,"{""type"":""Point"",""coordinates"":[-109.25000000000001,31.919999999999998]}"
00000000000000000135,316,3,31.92,-109.25,5.52135705947876,0.6564078868509587,1.3080424473204346,20.34864449237972,5,9.52150649204051,9.138051986694336,2.5732486627467477,ECMWF/ERA5_LAND/DAILY_AGGR,1994-03-31,1994-03-01,1994,"{""type"":""Point"",""coordinates"":[-109.25000000000001,31.919999999999998]}"
00000000000000000136,317,3,31.92,-109.25,9.055495262145996,0.4639789364672525,1.6229126918788552,14.383347030484828,2,9.3208135666386,9.56701914469403,2.521916116437443,ECMWF/ERA5_LAND/DAILY_AGGR,1995-03-31,1995-03-01,1995,"{""type"":""Point"",""coordinates"":[-109.25000000000001,31.919999999999998]}"
00000000000000000137,318,3,31.92,-109.25,2.8000438636013314,0.2400242819492077,0.6298259939697186,7.440752740425438,2,9.073349499446111,9.818413416544615,2.5582221680131925,ECMWF/ERA5_LAND/DAILY_AGGR,1996-03-31,1996-03-01,1996,"{""type"":""Point"",""coordinates"":[-109.25000000000001,31.919999999999998]}"
00000000000000000138,319,3,49.4,-110.7,2.2106319665908813,0.2837809670386414,0.49958939150274845,8.797209978197884,3,2.0156158201156353,17.94076919555664,4.366346284269158,ECMWF/ERA5_LAND/DAILY_AGGR,1999-03-31,1999-03-01,1999,"{""type"":""Point"",""coordinates"":[-110.70000000000002,49.4]}"
00000000000000000139,320,3,49.4,-110.7,10.796043276684486,1.124321521294681,2.2551747856953535,34.85396716013511,9,0.8093365782050929,15.41412289937341,3.624883276489114,ECMWF/ERA5_LAND/DAILY_AGGR,2000-03-31,2000-03-01,2000,"{""type"":""Point"",""coordinates"":[-110.70000000000002,49.4]}"
0000000000000000013a,321,3,49.4,-110.7,2.0948888206753224,0.2724248982840408,0.4945640820575702,8.445171846805266,3,0.9985418709375741,14.510891596476256,3.0928419285393707,ECMWF/ERA5_LAND/DAILY_AGGR,2001-03-31,2001-03-01,2001,"{""type"":""Point"",""coordinates"":[-110.70000000000002,49.4]}"
0000000000000000013b,322,3,49.4,-110.7,5.201217532146529,1.0644669037102146,1.4063773606063126,32.998474015016654,9,-11.37249486369469,26.26255162556967,7.676209440198574,ECMWF/ERA5_LAND/DAILY_AGGR,2002-03-31,2002-03-01,2002,"{""type"":""Point"",""coordinates"":[-110.70000000000002,49.4]}"
0000000000000000013c,323,3,49.4,-110.7,3.4097909926344983,0.7133626403664092,0.9200716298207556,22.114241851358685,7,-3.5614310356878267,35.93753687540689,10.123710262303662,ECMWF/ERA5_LAND/DAILY_AGGR,2003-03-31,2003-03-01,2003,"{""type"":""Point"",""coordinates"":[-110.70000000000002,49.4]}"
0000000000000000013d,324,3,49.4,-110.7,6.529289691684426,0.6928293932782439,1.2479276100768597,21.47771119162556,7,2.8808126634167297,15.407881418863894,3.865287946264287,ECMWF/ERA5_LAND/DAILY_AGGR,2004-03-31,2004-03-01,2004,"{""type"":""Point"",""coordinates"":[-110.70000000000002,49.4]}"
0000000000000000013e,325,3,49.4,-110.7,10.32846706084456,1.1789264397280599,2.0750594349444205,36.54671963156986,10,0.6297176197011181,15.293460210164369,4.37246136954367,ECMWF/ERA5_LAND/DAILY_AGGR,2005-03-31,2005-03-01,2005,"{""type"":""Point"",""coordinates"":[-110.70000000000002,49.4]}"
0000000000000000013f,326,3,49.4,-110.7,4.0302492575392534,0.8307255891388594,1.2810313462522502,25.752493263304643,9,-2.0879412128079133,15.998109181722043,4.708406221696284,ECMWF/ERA5_LAND/DAILY_AGGR,2006-03-31,2006-03-01,2006,"{""type"":""Point"",""coordinates"":[-110.70000000000002,49.4]}"
00000000000000000140,327,3,8.2,-82.2,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2000-03-31,2000-03-01,2000,"{""type"":""Point"",""coordinates"":[-82.2,8.2]}"
00000000000000000141,328,3,8.2,-82.2,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2001-03-31,2001-03-01,2001,"{""type"":""Point"",""coordinates"":[-82.2,8.2]}"
00000000000000000142,329,3,8.2,-82.2,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2002-03-31,2002-03-01,2002,"{""type"":""Point"",""coordinates"":[-82.2,8.2]}"
00000000000000000143,330,3,8.2,-82.2,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2003-03-31,2003-03-01,2003,"{""type"":""Point"",""coordinates"":[-82.2,8.2]}"
00000000000000000144,331,3,8.2,-82.2,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2004-03-31,2004-03-01,2004,"{""type"":""Point"",""coordinates"":[-82.2,8.2]}"
00000000000000000145,332,3,8.2,-82.2,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2005-03-31,2005-03-01,2005,"{""type"":""Point"",""coordinates"":[-82.2,8.2]}"
00000000000000000146,333,3,8.2,-82.2,,,,,,,,,ECMWF/ERA5_LAND/DAILY_AGGR,2006-03-31,2006-03-01,2006,"{""type"":""Point"",""coordinates"":[-82.2,8.2]}"
0000000000000000016e,373,3,35.0,-83.0,68.87477934350272,4.4137086021004235,12.37230079809142,136.82496666511312,9,10.400600297989406,17.355676651000977,3.7830965593424892,ECMWF/ERA5_LAND/DAILY_AGGR,1995-03-31,1995-03-01,1995,"{""type"":""Point"",""coordinates"":[-83.0,35.0]}"
0000000000000000016f,374,3,35.0,-83.0,45.10210573585027,6.315386806627838,11.525467482345496,195.77699100546297,14,5.938334483485089,18.916579564412416,4.730321655559481,ECMWF/ERA5_LAND/DAILY_AGGR,1996-03-31,1996-03-01,1996,"{""type"":""Point"",""coordinates"":[-83.0,35.0]}"
00000000000000000171,377,3,48.17,16.3,9.080517291920387,0.9382582326119584,1.7322616308134933,29.08600521097071,8,5.935117668233917,12.014124552408816,3.329224994126918,ECMWF/ERA5_LAND/DAILY_AGGR,1999-03-31,1999-03-01,1999,"{""type"":""Point"",""coordinates"":[16.3,48.17]}"
00000000000000000172,379,3,53.07,-0.95,7.890851068339089,1.6668136700350866,2.0587343153319275,51.67122377108768,11,3.787278378394365,12.071269989013672,2.908255115042617,ECMWF/ERA5_LAND/DAILY_AGGR,1985-03-31,1985-03-01,1985,"{""type"":""Point"",""coordinates"":[-0.9499999999999997,53.07]}"
