"record_id","Clements_name","family","lat","long","climate_year","breeding_start_month_num","breeding_end_month_num","stored_ndvi","can_first_month","gee_output_present","gee_output_ndvi","missing_coordinates","missing_study_year","missing_start_month","missing_required_input","missing_stored_ndvi","no_valid_pixel_after_masking","missingness_category"
43,"Hirundo_rustica","Hirundinidae",38.83,-6.98,1994,3,6,0.470826714,1,TRUE,0.47082671436142,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
44,"Hirundo_rustica","Hirundinidae",42.35,-76.5,2002,5,8,0.631213329,1,TRUE,0.631213328742869,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
45,"Hirundo_rustica","Hirundinidae",44.55,-76.32,1989,5,8,0.573357047,1,TRUE,0.573357047393365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
46,"Lanius_bucephalus","Laniidae",34.57,135.53,1989,3,6,0.129288432,1,TRUE,0.129288432446531,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
47,"Chroicocephalus_ridibundus","Laridae",48.92,17.08,2004,4,5,0.435958639,1,TRUE,0.435958638720057,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
48,"Megascops_asio","Strigidae",37.62,-84.12,1994,3,6,0.350881619,1,TRUE,0.350881618914261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
49,"Melospiza_melodia","Passerellidae",44.75,-63.68,2000,4,7,0.408668385,1,TRUE,0.408668385433452,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
50,"Oenanthe_oenanthe","Muscicapidae",52.77,-4.78,1991,3,6,0.6247,1,TRUE,0.6247,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
51,"Pachyptila_belcheri","Procellariidae",-51.72,-61.28,2006,12,1,0.224011125,1,TRUE,0.224011124814998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
52,"Periparus_ater","Paridae",52.33,11,1993,4,7,0.464308811,1,TRUE,0.464308811315858,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
53,"Cyanistes_caeruleus","Paridae",59.83,17.63,1988,4,6,0.260432278,1,TRUE,0.260432278220269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
54,"Cyanistes_caeruleus","Paridae",53.13,6.58,2008,4,6,0.536551544,1,TRUE,0.536551543890604,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
55,"Parus_major","Paridae",39.55,-4.33,2012,4,6,0.455856465,1,TRUE,0.455856465340443,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
56,"Parus_major","Paridae",59.83,17.67,1998,4,6,0.314783981,1,TRUE,0.314783981049162,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
57,"Parus_major","Paridae",52.37,11.02,1993,4,6,0.476989778,1,TRUE,0.476989777807885,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
58,"Parus_major","Paridae",55.67,12.57,1998,4,6,0.259605981,1,TRUE,0.259605980603448,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
59,"Parus_major","Paridae",52.15,10.32,1998,4,6,0.515468263,1,TRUE,0.515468263424188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
60,"Cyanistes_caeruleus","Paridae",28.42,16.38,2009,4,7,0.147444781,1,TRUE,0.147444780943261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
61,"Passer_domesticus","Passeridae",53.07,-0.95,1994,3,5,0.361261979,1,TRUE,0.36126197912386,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
62,"Passer_domesticus","Passeridae",41.38,2.15,1995,4,5,0.228510897,1,TRUE,0.228510897317299,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
63,"Thalassoica_antarctica","Procellariidae",-71.88,5.17,1993,1,2,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
64,"Upupa_epops","Upupidae",46.33,7.67,2004,4,8,0.471597995,1,TRUE,0.471597995283019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
65,"Upupa_epops","Upupidae",37,-3,1995,2,6,0.29529932,1,TRUE,0.295299319727891,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
66,"Vermivora_chrysoptera","Parulidae",44.57,-76.32,2005,4,7,0.360993112,1,TRUE,0.360993111800039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
67,"Volatinia_jacarina","Thraupidae",-15.95,-47.93,1999,11,3,0.497143964,1,TRUE,0.497143963687809,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
68,"Zonotrichia_capensis","Passerellidae",-0.35,-78.15,2006,10,1,0.575958279,1,TRUE,0.575958278783211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
69,"Zonotrichia_capensis","Passerellidae",-0.12,-77.92,2009,1,12,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
71,"Acrocephalus_sechellensis","Acrocephalidae",-4.32,55.65,1999,5,9,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
75,"Myiopsitta_monachus","Psittacidae",-31.67,-62.82,2000,11,12,0.518462416,1,TRUE,0.518462416068534,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
79,"Acanthiza_pusilla","Acanthizidae",-35.27,149.1,1995,7,12,0.436871908,1,TRUE,0.436871907989777,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
80,"Acanthiza_pusilla","Acanthizidae",-35.27,149.1,1996,7,12,0.398032426,1,TRUE,0.398032425825092,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
81,"Acanthiza_pusilla","Acanthizidae",-35.27,149.1,1997,7,12,0.387793055,1,TRUE,0.387793054783865,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
82,"Astur_cooperii","Accipitridae",44.97,-90.05,2003,2,4,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
83,"Astur_cooperii","Accipitridae",44.97,-90.05,2004,2,4,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
84,"Astur_cooperii","Accipitridae",44.97,-90.05,2007,2,4,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
85,"Acrocephalus_arundinaceus","Acrocephalidae",49.67,10.85,1992,5,7,0.583848013,1,TRUE,0.583848012844378,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
86,"Acrocephalus_arundinaceus","Acrocephalidae",49.67,10.85,1994,5,7,0.572606952,1,TRUE,0.572606951777543,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
87,"Acrocephalus_arundinaceus","Acrocephalidae",49.67,10.85,1995,5,7,0.601066593,1,TRUE,0.60106659296112,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
88,"Acrocephalus_arundinaceus","Acrocephalidae",49.67,10.85,1996,5,7,0.613003601,1,TRUE,0.613003600536964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
89,"Acrocephalus_arundinaceus","Acrocephalidae",49.67,10.85,1997,5,7,0.614932665,1,TRUE,0.614932664554734,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
90,"Acrocephalus_arundinaceus","Acrocephalidae",59.1,15.25,1994,5,7,0.461273685,1,TRUE,0.461273684950773,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
91,"Acrocephalus_arundinaceus","Acrocephalidae",59.1,15.25,1995,5,7,0.477819087,1,TRUE,0.477819087122764,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
92,"Acrocephalus_arundinaceus","Acrocephalidae",59.1,15.25,1996,5,7,0.325005527,1,TRUE,0.325005527185341,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
93,"Acrocephalus_arundinaceus","Acrocephalidae",59.1,15.25,1997,5,7,0.490681166,1,TRUE,0.49068116550594,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
94,"Acrocephalus_arundinaceus","Acrocephalidae",59.1,15.25,1998,5,7,0.533486607,1,TRUE,0.533486607264782,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
95,"Acrocephalus_schoenobaenus","Acrocephalidae",59.17,15.42,1990,5,7,0.517796533,1,TRUE,0.517796532553036,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
96,"Acrocephalus_schoenobaenus","Acrocephalidae",59.17,15.42,1991,5,7,0.453849233,1,TRUE,0.453849233396309,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
97,"Acrocephalus_schoenobaenus","Acrocephalidae",59.17,15.42,1992,5,7,0.485170238,1,TRUE,0.485170237704918,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
98,"Acrocephalus_schoenobaenus","Acrocephalidae",51.45,-0.55,1993,5,7,0.569790362,1,TRUE,0.569790362023496,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
99,"Acrocephalus_schoenobaenus","Acrocephalidae",51.45,-0.55,1994,5,7,0.557686325,1,TRUE,0.557686325301205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
100,"Acrocephalus_schoenobaenus","Acrocephalidae",51.45,-0.55,1995,5,7,0.545235785,1,TRUE,0.545235784946237,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
101,"Acrocephalus_schoenobaenus","Acrocephalidae",51.45,-0.55,1996,5,7,0.605102622,1,TRUE,0.605102622169249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
102,"Acrocephalus_schoenobaenus","Acrocephalidae",51.45,-0.55,1997,5,7,0.58018943,1,TRUE,0.580189429962761,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
103,"Acrocephalus_schoenobaenus","Acrocephalidae",51.45,-0.55,1998,5,7,0.601165156,1,TRUE,0.60116515554243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
104,"Actitis_hypoleucos","Scolopacidae",54.75,-3.02,1998,4,6,0.680965844,1,TRUE,0.680965843621399,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
105,"Actitis_hypoleucos","Scolopacidae",54.75,-3.02,1999,4,6,0.638716649,1,TRUE,0.638716648501362,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
106,"Alauda_arvensis","Alaudidae",51.17,-4.63,1997,4,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
107,"Alauda_arvensis","Alaudidae",51.17,-4.63,1998,4,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
108,"Alauda_arvensis","Alaudidae",51.17,-4.63,1999,4,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
109,"Alauda_arvensis","Alaudidae",51.17,-4.63,2000,4,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
110,"Bartramia_longicauda","Scolopacidae",39.08,-96.58,2003,5,6,0.575339247,1,TRUE,0.575339247255068,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
111,"Bartramia_longicauda","Scolopacidae",39.08,-96.58,2004,5,6,0.582063999,1,TRUE,0.582063999155406,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
112,"Bartramia_longicauda","Scolopacidae",39.08,-96.58,2005,5,6,0.558751885,1,TRUE,0.558751884501689,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
113,"Bartramia_longicauda","Scolopacidae",39.08,-96.58,2006,5,6,0.553356841,1,TRUE,0.553356841216216,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
114,"Bartramia_longicauda","Scolopacidae",39.08,-96.58,2007,5,6,0.5759334,1,TRUE,0.5759334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
115,"Branta_canadensis","Anatidae",43,-84,2000,3,6,0.274177126,1,TRUE,0.274177125899981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
116,"Branta_canadensis","Anatidae",43,-84,2001,3,6,0.268710231,1,TRUE,0.268710230589609,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
117,"Branta_canadensis","Anatidae",43,-84,2002,3,6,0.298501318,1,TRUE,0.298501318349873,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
118,"Branta_leucopsis","Anatidae",57.28,18.75,1989,5,7,0.401542062,1,TRUE,0.401542062222222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
119,"Branta_leucopsis","Anatidae",57.28,18.75,1990,5,7,0.457456915,1,TRUE,0.457456914572865,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
120,"Branta_leucopsis","Anatidae",57.28,18.75,1991,5,7,0.39761273,1,TRUE,0.397612730152445,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
121,"Calidris_alba","Scolopacidae",74.5,-21,2003,5,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
122,"Calidris_alba","Scolopacidae",74.5,-21,2007,5,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
123,"Calidris_alba","Scolopacidae",74.5,-21,2008,5,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
124,"Calidris_alba","Scolopacidae",74.5,-21,2009,5,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
125,"Calidris_alba","Scolopacidae",74.5,-21,2010,5,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
126,"Calidris_alba","Scolopacidae",74.5,-21,2011,5,7,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
127,"Calonectris_diomedea","Procellariidae",36.92,-25.17,2002,3,10,0.4682,1,TRUE,0.4682,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
128,"Calonectris_diomedea","Procellariidae",36.92,-25.17,2003,3,10,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
129,"Linaria_cannabina","Fringillidae",56.5,10.83,1998,4,8,0.280420846,1,TRUE,0.280420846193416,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
130,"Linaria_cannabina","Fringillidae",56.5,10.83,1999,4,8,0.373443374,1,TRUE,0.373443374338212,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
131,"Charadrius_semipalmatus","Charadriidae",58.75,-95.07,1996,6,7,0.350958315,1,TRUE,0.350958315379804,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
132,"Charadrius_semipalmatus","Charadriidae",58.75,-95.07,1997,6,7,0.404342983,1,TRUE,0.404342983303436,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
133,"Coracias_garrulus","Coraciidae",37.3,-3.18,2007,5,7,0.34067619,1,TRUE,0.34067619047619,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
134,"Coracias_garrulus","Coraciidae",37.3,-3.18,2008,5,7,0.26411646,1,TRUE,0.264116460065903,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
135,"Coracias_garrulus","Coraciidae",37.3,-3.18,2009,5,7,0.35602946,1,TRUE,0.35602946031746,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
136,"Coracias_garrulus","Coraciidae",37.3,-3.18,2010,5,7,0.349903376,1,TRUE,0.349903375661376,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
137,"Coracias_garrulus","Coraciidae",37.3,-3.18,2011,5,7,0.375439095,1,TRUE,0.375439095238095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
138,"Cyanocitta_stelleri","Corvidae",40.98,-124,2006,3,8,0.646993019,1,TRUE,0.646993019349637,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
139,"Cyanocitta_stelleri","Corvidae",40.98,-124,2007,3,8,0.692175758,1,TRUE,0.692175758218452,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
140,"Cyanocitta_stelleri","Corvidae",40.98,-124,2008,3,8,0.709419985,1,TRUE,0.709419985292454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
141,"Cyanoliseus_patagonus","Psittacidae",-41.05,-62.8,1998,10,2,0.263335718,1,TRUE,0.263335717791411,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
142,"Cyanoliseus_patagonus","Psittacidae",-41.05,-62.8,1999,10,2,0.285735075,1,TRUE,0.285735075144509,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
143,"Cygnus_atratus","Anatidae",-37.55,14.82,1999,7,11,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
144,"Cygnus_atratus","Anatidae",-37.55,14.82,2000,7,11,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
145,"Cygnus_atratus","Anatidae",-37.55,14.82,2001,7,11,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
146,"Setophaga_caerulescens","Parulidae",43.93,-71.75,1995,5,8,0.49011661,1,TRUE,0.490116609521944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
147,"Setophaga_caerulescens","Parulidae",43.93,-71.75,1996,5,8,0.566833929,1,TRUE,0.56683392927116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
148,"Setophaga_caerulescens","Parulidae",43.93,-71.75,1997,5,8,0.496839232,1,TRUE,0.496839231974922,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
149,"Setophaga_caerulescens","Parulidae",43.93,-71.75,1998,5,8,0.698847291,1,TRUE,0.698847291340125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
152,"Diomedea_exulans","Diomedeidae",-54,-38,1998,12,5,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
153,"Diomedea_exulans","Diomedeidae",-54,-38,1999,12,5,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
154,"Diomedea_exulans","Diomedeidae",-46.87,37.68,2007,11,10,0.0163,1,TRUE,0.0163,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NDVI available"
155,"Diomedea_exulans","Diomedeidae",-46.87,37.68,2008,11,10,NA,1,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No valid pixel after masking"
