epp_row_id,id_reference,scientific_name,Clements_name,order,family,family_common,scientific_name_jetz,breeding_system,level,common_name,lat,long,nest_box,marker_type,year_of_study_start,year_of_study_end,breeding_start,breeding_end,epp_percent_broods,n_epp_broods,n_wpp_broods,n_broods_sampled,record_id,lon,climate_year,climate_month,location_id,tmp_cru_C_first_month,tmp_long_base_1961_1989_C_first_month,tmp_long_anom_1961_1989_C_first_month,tmp_short_base_5yr_C_first_month,tmp_short_anom_5yr_C_first_month,original_end_month,tmp_cru_C_full_season,tmp_long_base_1961_1989_C_full_season,tmp_long_anom_1961_1989_C_full_season,tmp_short_base_5yr_C_full_season,tmp_short_anom_5yr_C_full_season,n_months_full_season,pre_cru_mm_first_month,pre_long_base_1961_1989_mm_first_month,pre_long_anom_1961_1989_mm_first_month,pre_short_base_5yr_mm_first_month,pre_short_anom_5yr_mm_first_month,pre_cru_mm_full_season,pre_long_base_1961_1989_mm_full_season,pre_long_anom_1961_1989_mm_full_season,pre_short_base_5yr_mm_full_season,pre_short_anom_5yr_mm_full_season,n_months_pre_full_season,dtr_cru_C_first_month,dtr_cru_C_full_season,breeding_start_month_num,breeding_end_month_num,breeding_season_length_months,ndvi_can_first_month,ndvi_can_full_season,ndvi_start_month,ndvi_end_month,ndvi_year,ndvi_lat,ndvi_lon,ndvi_first_month_median_30km,ndvi_full_season_median_30km,ndvi_merge_status,ndvi_coord_match_round4,lat_round,long_round,abs_latitude,population_id,distance_to_coast_km,era5_year,era5_first_month,era5_latitude,era5_longitude,era5_weather_start_date,era5_weather_end_date,era5_weather_dataset,era5_pre_max_mm_day_first_month,era5_pre_mean_mm_day_first_month,era5_pre_sd_mm_day_first_month,era5_pre_sum_mm_first_month,era5_pre_wet_days_gt1mm_first_month,era5_tmp_mean_C_first_month,era5_tmp_range_C_first_month,era5_tmp_sd_C_first_month
11,172Gissing1998,Carduelis_tristis,Spinus_tristis,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",Carduelis_tristis,monogamy,single-year study,American_goldfinch,43.53,-80.23,no,DNA fingerprinting,1992,1992,June,,26.7,4.0,11.0,15.0,11,-80.23,1992,6.0,11.0,14.90000057,16.32758647,-1.427585898,17.32000046,-2.419999886,,,,,,,,49.90000153,80.69655359,-30.79655207,58.57999992,-8.679998398,,,,,,,12.10000038,,6.0,,,1.0,0.0,6.0,,1992.0,43.53,-80.23,0.556848577,,both,True,43.53,-80.23,43.53,Carduelis_tristis_43.53_-80.23,469.0582705,1992.0,6.0,43.53,-80.23,1992-06-01,1992-06-30,ECMWF/ERA5_LAND/DAILY_AGGR,15.47237038602134,1.9482422091597824,3.760329519841534,58.44726627479346,9.0,16.02401226891414,14.825536092122434,3.470729207960454
12,170Hill1994,Carpodacus_mexicanus,Haemorhous_mexicanus,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",Carpodacus_mexicanus,monogamy,single-year study,house_finch,42.27,-83.73,no,DNA fingerprinting,1991,1991,February,July,14.3,5.0,30.0,35.0,12,-83.73,1991,2.0,12.0,-0.5,-3.88620696,3.38620696,-3.020000017,2.520000017,7.0,13.25000032,10.71149442,2.538505901,11.47333347,1.776666846,6.0,29.10000038,41.05862116,-11.95862078,54.5600008,-25.46000042,346.100008,418.29656,-72.196552,398.5000063,-52.39999828,6.0,8.400000572,11.53333346,2.0,7.0,6.0,1.0,1.0,2.0,7.0,1991.0,42.27,-83.73,0.216727151,0.289341382,both,True,42.27,-83.73,42.27,Carpodacus_mexicanus_42.27_-83.73,678.969232,1991.0,2.0,42.27,-83.73,1991-02-01,1991-02-28,ECMWF/ERA5_LAND/DAILY_AGGR,14.813351631062233,1.2589486649227255,2.9366143437185848,35.25056261783632,8.0,-1.0337512788318253,21.053480784098326,4.915077249644038
13,65Millar1997,Catharacta_maccormicki,Stercorarius_maccormicki,Charadriiformes,Stercorariidae,Skuas and Jaegers,Catharacta_maccormicki,monogamy,single-year study,South_polar_skua,-77.52,167.77,no,DNA fingerprinting,1988,1989,January,January,7.7,1.0,12.0,13.0,13,167.77,1988,1.0,13.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1988.0,-77.52,167.77,,,both,True,-77.52,167.77,77.52,Catharacta_maccormicki_-77.52_167.77,13.94325007,1988.0,1.0,-77.52,167.77,1988-01-01,1988-01-31,ECMWF/ERA5_LAND/DAILY_AGGR,3.732546681892046,0.3926536503041322,0.7649309064406218,12.172263159428098,3.0,-9.431871405980896,6.095792770385742,1.2971074696726217
14,247Maher2017,Charadrius_alexandrinus,Anarhynchus_alexandrinus,Charadriiformes,Charadriidae,Plovers and Lapwings,Charadrius_alexandrinus,monogamy,single-year study,kentish_plover,16.8,41.88,no,microsatellite,2011,2011,April,July,0.0,0.0,12.0,12.0,14,41.88,2011,4.0,14.0,,,,,,7.0,,,,,,4.0,,,,,,,,,,,4.0,,,4.0,7.0,4.0,1.0,1.0,4.0,7.0,2011.0,16.8,41.88,0.001263371,-0.008168433,both,True,16.8,41.88,16.8,Charadrius_alexandrinus_16.8_41.88,7.637789986,2011.0,4.0,16.8,41.88,2011-04-01,2011-04-30,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
15,367Dunn1999,Chen_caerulescens,Anser_caerulescens,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",Chen_caerulescens,monogamy,single-year study,lesser_snow_goose,67.23,-100.27,no,DNA fingerprinting,1995,1995,June,July,13.0,3.0,20.0,23.0,15,-100.27,1995,6.0,15.0,4.200000286,1.813793111,2.386207175,2.740000129,1.460000157,7.0,5.600000143,4.748275935,0.851724208,5.62000016,-0.020000017,2.0,21.60000038,13.90689676,7.693103626,15.72000065,5.879999733,46.10000038,40.95172464,5.148275737,43.12000103,2.979999352,2.0,7.0,6.850000143,6.0,7.0,2.0,1.0,1.0,6.0,7.0,1995.0,67.23,-100.27,0.110610535,0.137259696,both,True,67.23,-100.27,67.23,Chen_caerulescens_67.23_-100.27,65.96107461,1995.0,6.0,67.23,-100.27,1995-06-01,1995-06-30,ECMWF/ERA5_LAND/DAILY_AGGR,4.646483063595497,0.5641622362806705,1.0664152566627991,16.924867088420115,6.0,5.690404870775037,17.805131912231445,4.527904715817047
16,367Dunn1999,Chen_rossii,Anser_rossii,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",Chen_rossii,monogamy,single-year study,Ross’s_goose,67.23,-100.27,no,DNA fingerprinting,1995,1995,June,July,8.3,2.0,22.0,24.0,16,-100.27,1995,6.0,15.0,4.200000286,1.813793111,2.386207175,2.740000129,1.460000157,7.0,5.600000143,4.748275935,0.851724208,5.62000016,-0.020000017,2.0,21.60000038,13.90689676,7.693103626,15.72000065,5.879999733,46.10000038,40.95172464,5.148275737,43.12000103,2.979999352,2.0,7.0,6.850000143,6.0,7.0,2.0,1.0,1.0,6.0,7.0,1995.0,67.23,-100.27,0.110610535,0.137259696,both,True,67.23,-100.27,67.23,Chen_rossii_67.23_-100.27,65.96107461,1995.0,6.0,67.23,-100.27,1995-06-01,1995-06-30,ECMWF/ERA5_LAND/DAILY_AGGR,4.646483063595497,0.5641622362806705,1.0664152566627991,16.924867088420115,6.0,5.690404870775037,17.805131912231445,4.527904715817047
17,366Minias2014,Chlidonias_hybrida,Chlidonias_hybrida,Charadriiformes,Laridae,"Gulls, Terns, and Skimmers",Chlidonias_hybrida,monogamy,single-year study,whiskered_tern,51.73,18.63,no,microsatellite,2012,2012,May,August,11.8,2.0,15.0,17.0,17,18.63,2012,5.0,16.0,15.69999981,13.8068967,1.893103106,14.36000004,1.339999771,8.0,18.70000005,17.06810372,1.631896331,18.3400002,0.359999847,4.0,35.79999924,55.21724241,-19.41724317,56.94000092,-21.14000168,237.2000046,262.0344879,-24.83448331,294.2800014,-57.07999687,4.0,12.10000038,10.77500033,5.0,8.0,4.0,1.0,1.0,5.0,8.0,2012.0,51.73,18.63,0.589165188,0.553441176,both,True,51.73,18.63,51.73,Chlidonias_hybrida_51.73_18.63,292.129482,2012.0,5.0,51.73,18.63,2012-05-01,2012-05-31,ECMWF/ERA5_LAND/DAILY_AGGR,10.148197412490845,1.0216517549648396,2.087712662682042,31.671204403910025,6.0,15.814280282297462,14.019306818644225,4.234010702320467
18,410Turjeman2016,Ciconia_ciconia,Ciconia_ciconia,Ciconiiformes,Ciconiidae,Storks,Ciconia_ciconia,monogamy,single-year study,white_stork,44.0,5.0,no,microsatellite,2012,2012,,,26.9,39.0,106.0,145.0,18,5.0,2012,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,44.0,5.0,44.0,Ciconia_ciconia_44_5,61.95184668,,,,,,,,,,,,,,,
19,449Øigarden2010,Cinclus_cinclus,Cinclus_cinclus,Passeriformes,Cinclidae,Dippers,Cinclus_cinclus,monogamy,single-year study,white-throated_dipper,60.38,10.52,yes,microsatellite,1998,1998,April,June,5.0,2.0,38.0,40.0,19,10.52,1998,4.0,18.0,1.600000024,1.43448278,0.165517244,2.400000024,-0.8,6.0,7.333333532,7.388505873,-0.055172341,7.480000154,-0.146666622,3.0,78.5,46.68620817,31.81379183,41.06000137,37.43999863,255.4000092,185.3206929,70.07931627,185.2600012,70.14000797,3.0,6.700000286,8.500000159,4.0,6.0,3.0,1.0,1.0,4.0,6.0,1998.0,60.38,10.52,0.198457102,0.445432928,both,True,60.38,10.52,60.38,Cinclus_cinclus_60.38_10.52,68.56234446,1998.0,4.0,60.38,10.52,1998-04-01,1998-04-30,ECMWF/ERA5_LAND/DAILY_AGGR,26.60902304349122,4.638572511972328,5.560614779505367,139.15717535916983,19.0,0.8105067147149214,8.793929417928041,2.6241131635631527
20,269Whittingham1995,Delichon_urbicum,Delichon_urbicum,Passeriformes,Hirundinidae,Swallows,Delichon_urbicum,monogamy,single-year study,house_martin,61.42,8.87,no,DNA fingerprinting,1992,1992,July,July,60.0,6.0,4.0,10.0,20,8.87,1992,7.0,19.0,9.600000381,9.317241554,0.282758828,9.840000153,-0.239999771,7.0,9.600000381,9.317241554,0.282758828,9.840000153,-0.239999771,1.0,107.5,90.45862237,17.04137763,94.28000259,13.21999741,107.5,90.45862237,17.04137763,94.28000259,13.21999741,1.0,7.900000095,7.900000095,7.0,7.0,1.0,1.0,1.0,7.0,7.0,1992.0,61.42,8.87,0.431062596,0.431062596,both,True,61.42,8.87,61.42,Delichon_urbicum_61.42_8.87,71.44460893,1992.0,7.0,61.42,8.87,1992-07-01,1992-07-31,ECMWF/ERA5_LAND/DAILY_AGGR,17.844551801676545,3.2118033916564657,4.889497755577881,99.56590514135044,14.0,8.324474609539095,8.469732920328795,2.0850470148463245
21,426Yezerinac1999,Dendroica_petechia,Setophaga_petechia,Passeriformes,Parulidae,New World Warblers,Dendroica_petechia,monogamy,single-year study,yellow_warbler,58.67,-94.42,no,microsatellite,1994,1994,May,July,25.0,3.0,9.0,12.0,21,-94.42,1994,5.0,20.0,-0.600000024,-0.806896555,0.206896531,-0.380000012,-0.220000012,7.0,6.633333643,5.991954143,0.6413795,6.106666758,0.526666885,3.0,31.0,31.0,0.0,31.0,0.0,127.6000023,127.6000023,0.0,127.6000023,0.0,3.0,7.200000286,9.966667016,5.0,7.0,3.0,1.0,1.0,5.0,7.0,1994.0,58.67,-94.42,0.278085041,0.429098295,both,True,58.67,-94.42,58.67,Dendroica_petechia_58.67_-94.42,7.734236619,1994.0,5.0,58.67,-94.42,1994-05-01,1994-05-31,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
22,362Jouventin2006,Diomedea_exulans,Diomedea_exulans,Procellariiformes,Diomedeidae,Albatrosses,Diomedea_exulans,monogamy,single-year study,wandering_albatross,-46.42,51.75,no,microsatellite,2001,2002,November,October,12.0,6.0,44.0,50.0,22,51.75,2001,11.0,21.0,6.099999905,5.031034527,1.068965377,5.339999962,0.759999943,10.0,5.858333449,5.46178167,0.396551779,5.753333437,0.105000011,12.0,116.0,116.0,0.0,116.0,0.0,1548.0,1548.0,0.0,1548.0,0.0,12.0,5.099999905,4.416666786,11.0,10.0,12.0,1.0,1.0,11.0,10.0,2001.0,-46.42,51.75,0.11438,0.095066667,both,True,-46.42,51.75,46.42,Diomedea_exulans_-46.42_51.75,2.5294659,2001.0,11.0,-46.42,51.75,2001-11-01,2001-11-30,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
23,362Jouventin2006,Diomedea_exulans,Diomedea_exulans,Procellariiformes,Diomedeidae,Albatrosses,Diomedea_exulans,monogamy,single-year study,wandering_albatross,-49.25,69.53,no,microsatellite,2002,2003,December,November,8.3,2.0,22.0,24.0,23,69.53,2002,12.0,22.0,5.800000191,5.900000062,-0.099999872,6.740000153,-0.939999962,11.0,4.316666752,4.027298908,0.289367844,4.598333406,-0.281666654,12.0,78.0,63.69655247,14.30344753,68.46000137,9.539998627,515.6000085,811.6000147,-296.0000062,768.5600124,-252.9600039,12.0,5.800000191,6.250000079,12.0,11.0,12.0,1.0,1.0,12.0,11.0,2002.0,-49.25,69.53,0.083433333,0.165868029,both,True,-49.25,69.53,49.25,Diomedea_exulans_-49.25_69.53,0.084755357,2002.0,12.0,-49.25,69.53,2002-12-01,2002-12-31,ECMWF/ERA5_LAND/DAILY_AGGR,28.921938166774908,4.99503575057136,5.774097404832459,154.84610826771217,24.0,4.1122207518547,4.693413416544559,1.2761572414939446
24,198McLean2000,Eudyptes_pachyrhynchus,Eudyptes_pachyrhynchus,Sphenisciformes,Spheniscidae,Penguins,Eudyptes_pachyrhynchus,monogamy,single-year study,Fiordland_penguin,-43.83,168.88,no,DNA fingerprinting,1990,1990,July,September,0.0,0.0,24.0,24.0,24,168.88,1990,7.0,23.0,,,,,,9.0,,,,,,3.0,,,,,,,,,,,3.0,,,7.0,9.0,3.0,1.0,1.0,7.0,9.0,1990.0,-43.83,168.88,0.203124146,0.450938766,both,True,-43.83,168.88,43.83,Eudyptes_pachyrhynchus_-43.83_168.88,10.68454993,1990.0,7.0,-43.83,168.88,1990-07-01,1990-07-31,ECMWF/ERA5_LAND/DAILY_AGGR,84.9127471446991,9.028164354477685,16.293663538691032,279.8730949888082,18.0,4.858235767323508,8.155888875325502,2.113310675250565
25,64Clair1995,Eudyptes_schlegeli,Eudyptes_schlegeli,Sphenisciformes,Spheniscidae,Penguins,Eudyptes_schlegeli,monogamy,single-year study,royal_penguin,-54.5,158.95,no,DNA fingerprinting,1991,1991,October,December,7.7,1.0,12.0,13.0,25,158.95,1991,10.0,24.0,3.700000048,3.631034547,0.068965501,4.020000124,-0.320000076,12.0,4.666666746,4.631034536,0.03563221,4.940000073,-0.273333327,3.0,113.8000031,71.0275875,42.77241556,79.14000092,34.66000214,264.9000015,216.9068997,47.99310184,235.5600021,29.33999939,3.0,4.200000286,3.966666778,10.0,12.0,3.0,1.0,1.0,10.0,12.0,1991.0,-54.5,158.95,,0.2152,both,True,-54.5,158.95,54.5,Eudyptes_schlegeli_-54.5_158.95,0.34236785,1991.0,10.0,-54.5,158.95,1991-10-01,1991-10-31,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
26,208Swatschek1993,Falco_eleonorae,Falco_eleonorae,Falconiformes,Falconidae,Falcons and Caracaras,Falco_eleonorae,monogamy,single-year study,eleonoras_falcon,38.0,24.98,no,DNA fingerprinting,1991,1991,May,October,0.0,0.0,17.0,17.0,26,24.98,1991,5.0,25.0,15.60000038,17.92413863,-2.324138247,17.40000038,-1.8,10.0,20.85000038,21.12643722,-0.276436839,21.26333364,-0.413333257,6.0,46.0,21.20344867,24.79655133,12.12000017,33.87999983,106.8000019,106.396554,0.403447922,76.22000214,30.57999977,6.0,5.5,5.666666667,5.0,10.0,6.0,1.0,1.0,5.0,10.0,1991.0,38.0,24.98,0.421584032,0.306431461,both,True,38.0,24.98,38.0,Falco_eleonorae_38_24.98,10.78862036,1991.0,5.0,38.0,24.98,1991-05-01,1991-05-31,ECMWF/ERA5_LAND/DAILY_AGGR,,,,,,,,
27,294 Alcaide2005,Falco_naumanni,Falco_naumanni,Falconiformes,Falconidae,Falcons and Caracaras,Falco_naumanni,monogamy,single-year study,lesser_kestrel,37.17,-6.35,no,microsatellite,2003,2003,March,July,12.5,1.0,7.0,8.0,27,-6.35,2003,3.0,26.0,15.60000038,13.92068985,1.679310536,15.72000046,-0.120000076,7.0,21.20000038,19.49448305,1.705517328,20.42400032,0.776000061,5.0,70.70000458,57.72413882,12.97586576,62.72000122,7.980003357,150.7000062,158.0517259,-7.351719676,156.0600036,-5.359997381,5.0,11.0,13.22000008,3.0,7.0,5.0,1.0,1.0,3.0,7.0,2003.0,37.17,-6.35,0.38759244,0.388583381,both,True,37.17,-6.35,37.17,Falco_naumanni_37.17_-6.35,26.68393136,2003.0,3.0,37.17,-6.35,2003-03-01,2003-03-31,ECMWF/ERA5_LAND/DAILY_AGGR,28.3726505833215,2.560201022349028,6.095430042510943,79.36623169281987,8.0,14.401357207759755,5.424071629842104,1.385239327336037
28,294 Alcaide2005,Falco_naumanni,Falco_naumanni,Falconiformes,Falconidae,Falcons and Caracaras,Falco_naumanni,monogamy,single-year study,lesser_kestrel,41.35,-0.18,no,microsatellite,1993,1993,April,July,8.7,2.0,21.0,23.0,28,-0.18,1993,4.0,27.0,13.0,13.2448278,-0.244827797,13.16000023,-0.160000229,7.0,19.17500067,18.86810378,0.306896892,19.18500037,-0.009999704,4.0,40.10000229,37.70689723,2.393105063,44.42000084,-4.31999855,107.2000039,143.2724165,-36.07241255,161.1800019,-53.97999799,4.0,12.30000019,12.95000005,4.0,7.0,4.0,1.0,1.0,4.0,7.0,1993.0,41.35,-0.18,0.245953619,0.204766259,both,True,41.35,-0.18,41.35,Falco_naumanni_41.35_-0.18,95.17221312,1993.0,4.0,41.35,-0.18,1993-04-01,1993-04-30,ECMWF/ERA5_LAND/DAILY_AGGR,18.38633716096183,1.831564463257844,4.1597355837203285,54.946933897735306,7.0,13.465512953864224,10.48895581563312,2.5739208818039496
